=======Command line arguments=======
N_atoms: 4000
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
box length: 7.680e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
      0   1.243e+01  -2.862e-01  1.21397e+01  150.00  1.577e-05
    100   9.322e+00  -2.852e-01  9.03641e+00  112.53  1.120e-05
    200   1.121e+01  -2.848e-01  1.09207e+01  135.27  1.398e-05
    300   1.157e+01  -2.848e-01  1.12878e+01  139.70  1.452e-05
    400   1.175e+01  -2.847e-01  1.14658e+01  141.85  1.478e-05
    500   1.191e+01  -2.847e-01  1.16228e+01  143.74  1.501e-05
    600   1.194e+01  -2.847e-01  1.16513e+01  144.09  1.506e-05
    700   1.218e+01  -2.847e-01  1.18944e+01  147.02  1.541e-05
    800   1.213e+01  -2.847e-01  1.18498e+01  146.48  1.535e-05
    900   1.214e+01  -2.847e-01  1.18599e+01  146.60  1.536e-05
   1000   1.206e+01  -2.847e-01  1.17780e+01  145.62  1.524e-05
   1100   1.199e+01  -2.848e-01  1.17065e+01  144.75  1.514e-05
   1200   1.198e+01  -2.849e-01  1.16955e+01  144.62  1.512e-05
   1300   1.210e+01  -2.848e-01  1.18132e+01  146.04  1.529e-05
   1400   1.231e+01  -2.848e-01  1.20285e+01  148.64  1.561e-05
   1500   1.218e+01  -2.847e-01  1.18980e+01  147.06  1.542e-05
   1600   1.220e+01  -2.847e-01  1.19168e+01  147.29  1.545e-05
   1700   1.223e+01  -2.847e-01  1.19433e+01  147.61  1.549e-05
   1800   1.215e+01  -2.847e-01  1.18640e+01  146.65  1.537e-05
   1900   1.225e+01  -2.847e-01  1.19650e+01  147.87  1.552e-05
   2000   1.225e+01  -2.847e-01  1.19661e+01  147.89  1.552e-05
   2100   1.222e+01  -2.847e-01  1.19352e+01  147.51  1.547e-05
   2200   1.239e+01  -2.848e-01  1.21054e+01  149.57  1.572e-05
   2300   1.246e+01  -2.847e-01  1.21717e+01  150.37  1.582e-05
   2400   1.225e+01  -2.852e-01  1.19688e+01  147.92  1.552e-05
   2500   1.234e+01  -2.847e-01  1.20536e+01  148.94  1.565e-05
   2600   1.242e+01  -2.852e-01  1.21381e+01  149.97  1.577e-05
   2700   1.241e+01  -2.851e-01  1.21287e+01  149.85  1.576e-05
   2800   1.225e+01  -2.850e-01  1.19625e+01  147.85  1.551e-05
   2900   1.240e+01  -2.850e-01  1.21127e+01  149.66  1.573e-05
   3000   1.232e+01  -2.851e-01  1.20332e+01  148.70  1.562e-05
   3100   1.237e+01  -2.851e-01  1.20852e+01  149.33  1.569e-05
   3200   1.240e+01  -2.850e-01  1.21188e+01  149.73  1.574e-05
   3300   1.249e+01  -2.850e-01  1.22033e+01  150.75  1.587e-05
   3400   1.236e+01  -2.847e-01  1.20723e+01  149.17  1.568e-05
   3500   1.243e+01  -2.849e-01  1.21438e+01  150.03  1.578e-05
   3600   1.232e+01  -2.848e-01  1.20312e+01  148.67  1.561e-05
   3700   1.244e+01  -2.848e-01  1.21554e+01  150.17  1.580e-05
   3800   1.245e+01  -2.848e-01  1.21609e+01  150.24  1.581e-05
   3900   1.233e+01  -2.848e-01  1.20416e+01  148.80  1.563e-05
   4000   1.242e+01  -2.849e-01  1.21342e+01  149.92  1.577e-05
   4100   1.224e+01  -2.848e-01  1.19537e+01  147.74  1.550e-05
   4200   1.238e+01  -2.847e-01  1.20946e+01  149.44  1.571e-05
   4300   1.227e+01  -2.847e-01  1.19852e+01  148.12  1.555e-05
   4400   1.235e+01  -2.847e-01  1.20667e+01  149.10  1.567e-05
   4500   1.247e+01  -2.847e-01  1.21811e+01  150.48  1.584e-05
   4600   1.238e+01  -2.848e-01  1.20989e+01  149.49  1.571e-05
   4700   1.249e+01  -2.847e-01  1.22004e+01  150.71  1.586e-05
   4800   1.245e+01  -2.848e-01  1.21616e+01  150.25  1.581e-05
   4900   1.231e+01  -2.848e-01  1.20297e+01  148.65  1.561e-05
   5000   1.253e+01  -2.848e-01  1.22419e+01  151.22  1.592e-05
   5100   1.247e+01  -2.847e-01  1.21837e+01  150.51  1.584e-05
   5200   1.232e+01  -2.848e-01  1.20315e+01  148.68  1.561e-05
   5300   1.224e+01  -2.848e-01  1.19534e+01  147.73  1.550e-05
   5400   1.242e+01  -2.847e-01  1.21370e+01  149.95  1.577e-05
   5500   1.238e+01  -2.847e-01  1.20953e+01  149.45  1.571e-05
   5600   1.245e+01  -2.847e-01  1.21677e+01  150.32  1.582e-05
   5700   1.239e+01  -2.847e-01  1.21066e+01  149.58  1.573e-05
   5800   1.230e+01  -2.847e-01  1.20158e+01  148.49  1.559e-05
   5900   1.227e+01  -2.848e-01  1.19839e+01  148.10  1.554e-05
   6000   1.242e+01  -2.848e-01  1.21368e+01  149.95  1.577e-05
   6100   1.255e+01  -2.850e-01  1.22692e+01  151.55  1.596e-05
   6200   1.224e+01  -2.849e-01  1.19535e+01  147.74  1.550e-05
   6300   1.226e+01  -2.850e-01  1.19733e+01  147.98  1.553e-05
   6400   1.228e+01  -2.851e-01  1.19959e+01  148.25  1.556e-05
   6500   1.220e+01  -2.857e-01  1.19178e+01  147.32  1.545e-05
   6600   1.232e+01  -2.847e-01  1.20337e+01  148.70  1.562e-05
   6700   1.229e+01  -2.867e-01  1.20073e+01  148.41  1.558e-05
   6800   1.236e+01  -2.879e-01  1.20686e+01  149.16  1.567e-05
   6900   1.227e+01  -2.856e-01  1.19832e+01  148.10  1.554e-05
   7000   1.219e+01  -2.853e-01  1.19076e+01  147.19  1.543e-05
   7100   1.212e+01  -2.850e-01  1.18323e+01  146.27  1.532e-05
   7200   1.229e+01  -2.848e-01  1.20088e+01  148.40  1.558e-05
   7300   1.223e+01  -2.849e-01  1.19411e+01  147.59  1.548e-05
   7400   1.219e+01  -2.849e-01  1.19088e+01  147.20  1.543e-05
   7500   1.236e+01  -2.850e-01  1.20720e+01  149.17  1.567e-05
   7600   1.223e+01  -2.861e-01  1.19403e+01  147.59  1.548e-05
   7700   1.238e+01  -2.869e-01  1.20917e+01  149.43  1.570e-05
   7800   1.234e+01  -2.867e-01  1.20534e+01  148.96  1.566e-05
   7900   1.233e+01  -2.862e-01  1.20419e+01  148.82  1.563e-05
   8000   1.233e+01  -2.859e-01  1.20430e+01  148.83  1.563e-05
   8100   1.242e+01  -2.855e-01  1.21366e+01  149.95  1.577e-05
   8200   1.236e+01  -2.852e-01  1.20753e+01  149.21  1.568e-05
   8300   1.238e+01  -2.852e-01  1.20936e+01  149.43  1.571e-05
   8400   1.226e+01  -2.851e-01  1.19760e+01  148.01  1.553e-05
   8500   1.232e+01  -2.849e-01  1.20305e+01  148.67  1.561e-05
   8600   1.234e+01  -2.851e-01  1.20553e+01  148.97  1.565e-05
   8700   1.242e+01  -2.853e-01  1.21304e+01  149.88  1.576e-05
   8800   1.229e+01  -2.848e-01  1.20041e+01  148.35  1.557e-05
   8900   1.244e+01  -2.848e-01  1.21596e+01  150.22  1.580e-05
   9000   1.229e+01  -2.848e-01  1.20035e+01  148.34  1.557e-05
   9100   1.251e+01  -2.848e-01  1.22249e+01  151.01  1.590e-05
   9200   1.233e+01  -2.849e-01  1.20446e+01  148.84  1.563e-05
   9300   1.237e+01  -2.848e-01  1.20851e+01  149.32  1.569e-05
   9400   1.231e+01  -2.849e-01  1.20286e+01  148.64  1.561e-05
   9500   1.241e+01  -2.849e-01  1.21289e+01  149.85  1.576e-05
   9600   1.234e+01  -2.848e-01  1.20592e+01  149.01  1.566e-05
   9700   1.241e+01  -2.849e-01  1.21227e+01  149.78  1.575e-05
   9800   1.233e+01  -2.850e-01  1.20466e+01  148.86  1.564e-05
   9900   1.235e+01  -2.852e-01  1.20613e+01  149.04  1.566e-05
  10000   1.247e+01  -2.856e-01  1.21860e+01  150.55  1.584e-05
Simulation Complete!
Total simulation time:            412.838 secs
Force/energy time:                410.910 secs (99.53%)
Position/velocity update time:      1.088 secs ( 0.26%)
Thermo/trajectory output time:      0.836 secs ( 0.20%)
