=======Command line arguments=======
N_atoms: 1000
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
recvcount: 62       displ: 0
recvcount: 62       displ: 62
recvcount: 62       displ: 124
recvcount: 62       displ: 186
recvcount: 62       displ: 248
recvcount: 62       displ: 310
recvcount: 62       displ: 372
recvcount: 62       displ: 434
recvcount: 62       displ: 496
recvcount: 62       displ: 558
recvcount: 62       displ: 620
recvcount: 62       displ: 682
recvcount: 62       displ: 744
recvcount: 62       displ: 806
recvcount: 62       displ: 868
recvcount: 70       displ: 930
box length: 4.838e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
      0   3.087e+00  -4.855e-01  2.60148e+00  149.06  1.019e-05
    100   2.487e+00  -4.522e-01  2.03505e+00  120.10  1.025e-05
    200   2.857e+00  -4.583e-01  2.39907e+00  137.97  1.413e-05
    300   2.989e+00  -4.926e-01  2.49630e+00  144.32  1.330e-05
    400   2.973e+00  -4.713e-01  2.50186e+00  143.56  1.476e-05
    500   3.031e+00  -4.923e-01  2.53887e+00  146.36  1.387e-05
    600   3.060e+00  -4.782e-01  2.58197e+00  147.76  1.458e-05
    700   3.104e+00  -4.966e-01  2.60700e+00  149.86  1.287e-05
    800   3.019e+00  -4.743e-01  2.54428e+00  145.76  1.412e-05
    900   3.131e+00  -4.736e-01  2.65729e+00  151.18  1.540e-05
   1000   3.131e+00  -4.795e-01  2.65114e+00  151.17  1.533e-05
   1100   3.092e+00  -4.794e-01  2.61264e+00  149.30  1.453e-05
   1200   3.122e+00  -5.011e-01  2.62041e+00  150.73  1.414e-05
   1300   3.085e+00  -5.082e-01  2.57651e+00  148.95  1.396e-05
   1400   3.124e+00  -4.908e-01  2.63286e+00  150.83  1.485e-05
   1500   3.120e+00  -4.926e-01  2.62717e+00  150.64  1.450e-05
   1600   3.073e+00  -4.923e-01  2.58094e+00  148.40  1.408e-05
   1700   3.149e+00  -5.095e-01  2.64001e+00  152.08  1.416e-05
   1800   3.064e+00  -4.964e-01  2.56733e+00  147.93  1.516e-05
   1900   3.129e+00  -4.854e-01  2.64352e+00  151.08  1.580e-05
   2000   3.151e+00  -4.932e-01  2.65815e+00  152.16  1.448e-05
   2100   3.140e+00  -4.842e-01  2.65617e+00  151.64  1.418e-05
   2200   3.156e+00  -4.755e-01  2.68041e+00  152.38  1.532e-05
   2300   3.145e+00  -4.881e-01  2.65664e+00  151.85  1.484e-05
   2400   3.184e+00  -4.966e-01  2.68730e+00  153.74  1.483e-05
   2500   3.180e+00  -4.934e-01  2.68668e+00  153.55  1.516e-05
   2600   3.151e+00  -4.765e-01  2.67488e+00  152.17  1.640e-05
   2700   3.173e+00  -4.926e-01  2.67996e+00  153.19  1.523e-05
   2800   3.203e+00  -4.901e-01  2.71321e+00  154.67  1.551e-05
   2900   3.206e+00  -4.975e-01  2.70811e+00  154.79  1.496e-05
   3000   3.221e+00  -5.041e-01  2.71705e+00  155.54  1.490e-05
   3100   3.224e+00  -5.001e-01  2.72431e+00  155.69  1.575e-05
   3200   3.189e+00  -5.059e-01  2.68274e+00  153.97  1.516e-05
   3300   3.187e+00  -5.107e-01  2.67636e+00  153.89  1.501e-05
   3400   3.251e+00  -5.055e-01  2.74585e+00  156.99  1.569e-05
   3500   3.123e+00  -4.973e-01  2.62612e+00  150.82  1.540e-05
   3600   3.257e+00  -5.118e-01  2.74546e+00  157.28  1.519e-05
